unique_id,page_number,title,approval_status,address,date,municipality,pdf_link
gmb-2024-19479,1,"Wet toeristische verhuur, Perenstraat 247 te Den Haag",,geen 'verleend',10-01-2024,'s-Gravenhage,https://zoek.officielebekendmakingen.nl/gmb-2024-19479.pdf
gmb-2022-128506,10,"Wet toeristische verhuur, Vissershavenstraat 15 te Den Haag",,geen 'verleend',23-03-2022,'s-Gravenhage,https://zoek.officielebekendmakingen.nl/gmb-2022-128506.pdf
gmb-2022-124329,10,"Wet toeristische verhuur, Maastrichtsestraat 4 te Den Haag",,geen 'verleend',21-03-2022,'s-Gravenhage,https://zoek.officielebekendmakingen.nl/gmb-2022-124329.pdf
gmb-2022-124342,10,"Wet toeristische verhuur, Laan van Poot 380 te Den Haag",,geen 'verleend',21-03-2022,'s-Gravenhage,https://zoek.officielebekendmakingen.nl/gmb-2022-124342.pdf
gmb-2022-124344,10,"Wet toeristische verhuur, Buijs Ballotstraat 63 te Den Haag",,geen 'verleend',21-03-2022,'s-Gravenhage,https://zoek.officielebekendmakingen.nl/gmb-2022-124344.pdf
gmb-2022-124339,10,"Wet toeristische verhuur, Kamillestraat 23 te Den Haag",,geen 'verleend',21-03-2022,'s-Gravenhage,https://zoek.officielebekendmakingen.nl/gmb-2022-124339.pdf
gmb-2022-124346,10,"Wet toeristische verhuur, Koningsplein 49 te Den Haag",,geen 'verleend',21-03-2022,'s-Gravenhage,https://zoek.officielebekendmakingen.nl/gmb-2022-124346.pdf
gmb-2022-124340,10,"Wet toeristische verhuur, Elandstraat 70 te Den Haag",,geen 'verleend',21-03-2022,'s-Gravenhage,https://zoek.officielebekendmakingen.nl/gmb-2022-124340.pdf
gmb-2022-124284,10,"Wet toeristische verhuur, Kortrijksestraat 13 te Den Haag",,geen 'verleend',21-03-2022,'s-Gravenhage,https://zoek.officielebekendmakingen.nl/gmb-2022-124284.pdf
gmb-2022-124341,10,"Wet toeristische verhuur, Sirtemastraat 110 te Den Haag",,geen 'verleend',21-03-2022,'s-Gravenhage,https://zoek.officielebekendmakingen.nl/gmb-2022-124341.pdf
